1 & 64 & baseline & 49.11 & 0.58
1 & 64 & rowsync & 49.11 & 0.58 & 43.72 & 0.89 & 10.97
1 & 64 & tilesync & 49.11 & 0.58 & 42.50 & 0.99 & 13.46
4 & 64 & baseline & 103.67 & 1.50
4 & 64 & rowsync & 103.67 & 1.50 & 94.94 & 1.86 & 8.41
4 & 64 & tilesync & 103.67 & 1.50 & 90.89 & 2.37 & 12.33
8 & 64 & baseline & 174.33 & 1.94
8 & 64 & rowsync & 174.33 & 1.94 & 157.06 & 2.55 & 9.91
8 & 64 & tilesync & 174.33 & 1.94 & 153.39 & 1.38 & 12.01
12 & 64 & baseline & 177.28 & 1.18
12 & 64 & rowsync & 177.28 & 1.18 & 162.17 & 1.15 & 8.52
12 & 64 & tilesync & 177.28 & 1.18 & 160.44 & 0.70 & 9.50
16 & 64 & baseline & 217.22 & 1.70
16 & 64 & rowsync & 217.22 & 1.70 & 211.28 & 1.41 & 2.74
16 & 64 & tilesync & 217.22 & 1.70 & 210.44 & 1.82 & 3.12
20 & 64 & baseline & 292.72 & 4.94
20 & 64 & rowsync & 292.72 & 4.94 & 271.17 & 2.96 & 7.36
20 & 64 & tilesync & 292.72 & 4.94 & 272.28 & 1.90 & 6.98
24 & 64 & baseline & 307.39 & 0.78
24 & 64 & rowsync & 307.39 & 0.78 & 297.00 & 2.28 & 3.38
24 & 64 & tilesync & 307.39 & 0.78 & 295.44 & 1.65 & 3.89
28 & 64 & baseline & 372.89 & 1.23
28 & 64 & rowsync & 372.89 & 1.23 & 346.72 & 1.27 & 7.02
28 & 64 & tilesync & 372.89 & 1.23 & 346.89 & 1.23 & 6.97
32 & 64 & baseline & 383.61 & 1.33
32 & 64 & rowsync & 383.61 & 1.33 & 372.00 & 2.20 & 3.03
32 & 64 & tilesync & 383.61 & 1.33 & 373.61 & 1.61 & 2.61
1 & 128 & baseline & 51.22 & 0.88
1 & 128 & rowsync & 51.22 & 0.88 & 42.83 & 0.38 & 16.38
1 & 128 & tilesync & 51.22 & 0.88 & 44.94 & 0.54 & 12.26
4 & 128 & baseline & 105.56 & 2.33
4 & 128 & rowsync & 105.56 & 2.33 & 79.06 & 4.47 & 25.11
4 & 128 & tilesync & 105.56 & 2.33 & 76.67 & 2.20 & 27.37
8 & 128 & baseline & 122.94 & 0.80
8 & 128 & rowsync & 122.94 & 0.80 & 105.44 & 2.71 & 14.23
