1 & 64 & baseline & 49.94 & 0.94
1 & 64 & rowsync & 49.94 & 0.94 & 40.22 & 0.43 & 19.47
1 & 64 & tilesync & 49.94 & 0.94 & 41.28 & 0.46 & 17.35
4 & 64 & baseline & 78.50 & 1.15
4 & 64 & rowsync & 78.50 & 1.15 & 63.94 & 0.54 & 18.54
4 & 64 & tilesync & 78.50 & 1.15 & 67.17 & 1.58 & 14.44
8 & 64 & baseline & 114.89 & 2.70
8 & 64 & rowsync & 114.89 & 2.70 & 98.50 & 0.86 & 14.26
8 & 64 & tilesync & 114.89 & 2.70 & 104.06 & 1.21 & 9.43
12 & 64 & baseline & 144.72 & 0.57
12 & 64 & rowsync & 144.72 & 0.57 & 138.44 & 1.62 & 4.34
12 & 64 & tilesync & 144.72 & 0.57 & 145.17 & 2.20 & -0.31
16 & 64 & baseline & 183.06 & 5.10
16 & 64 & rowsync & 183.06 & 5.10 & 175.89 & 1.41 & 3.92
16 & 64 & tilesync & 183.06 & 5.10 & 185.39 & 1.14 & -1.27
20 & 64 & baseline & 201.44 & 1.20
20 & 64 & rowsync & 201.44 & 1.20 & 184.72 & 2.22 & 8.30
20 & 64 & tilesync & 201.44 & 1.20 & 191.33 & 4.56 & 5.02
24 & 64 & baseline & 206.28 & 0.57
24 & 64 & rowsync & 206.28 & 0.57 & 203.67 & 0.97 & 1.27
24 & 64 & tilesync & 206.28 & 0.57 & 208.00 & 0.69 & -0.83
28 & 64 & baseline & 286.39 & 1.33
28 & 64 & rowsync & 286.39 & 1.33 & 252.44 & 0.98 & 11.85
28 & 64 & tilesync & 286.39 & 1.33 & 259.39 & 1.33 & 9.43
32 & 64 & baseline & 290.28 & 1.32
32 & 64 & rowsync & 290.28 & 1.32 & 261.11 & 1.28 & 10.05
32 & 64 & tilesync & 290.28 & 1.32 & 264.94 & 1.11 & 8.73
1 & 128 & baseline & 55.44 & 0.51
1 & 128 & rowsync & 55.44 & 0.51 & 44.39 & 0.50 & 19.94
1 & 128 & tilesync & 55.44 & 0.51 & 46.33 & 0.49 & 16.43
4 & 128 & baseline & 91.11 & 1.57
4 & 128 & rowsync & 91.11 & 1.57 & 69.94 & 1.35 & 23.23
4 & 128 & tilesync & 91.11 & 1.57 & 71.94 & 1.80 & 21.04
8 & 128 & baseline & 108.00 & 0.34
8 & 128 & rowsync & 108.00 & 0.34 & 113.44 & 1.42 & -5.04
8 & 128 & tilesync & 108.00 & 0.34 & 117.22 & 1.06 & -8.54
12 & 128 & baseline & 149.00 & 0.69
12 & 128 & rowsync & 149.00 & 0.69 & 121.67 & 1.41 & 18.34
12 & 128 & tilesync & 149.00 & 0.69 & 126.33 & 1.28 & 15.21
16 & 128 & baseline & 273.50 & 1.20
16 & 128 & rowsync & 273.50 & 1.20 & 265.44 & 0.92 & 2.95
16 & 128 & tilesync & 273.50 & 1.20 & 272.83 & 1.38 & 0.24
20 & 128 & baseline & 191.89 & 1.18
20 & 128 & rowsync & 191.89 & 1.18 & 176.44 & 1.25 & 8.05
20 & 128 & tilesync & 191.89 & 1.18 & 186.72 & 1.49 & 2.69
24 & 128 & baseline & 193.56 & 0.62
24 & 128 & rowsync & 193.56 & 0.62 & 179.22 & 2.46 & 7.41
24 & 128 & tilesync & 193.56 & 0.62 & 190.06 & 1.00 & 1.81
28 & 128 & baseline & 323.06 & 8.51
28 & 128 & rowsync & 323.06 & 8.51 & 254.28 & 3.23 & 21.29
28 & 128 & tilesync & 323.06 & 8.51 & 268.94 & 1.92 & 16.75
32 & 128 & baseline & 337.17 & 3.38
32 & 128 & rowsync & 337.17 & 3.38 & 264.11 & 3.36 & 21.67
32 & 128 & tilesync & 337.17 & 3.38 & 275.28 & 2.61 & 18.36
1 & 256 & baseline & 63.56 & 0.62
1 & 256 & rowsync & 63.56 & 0.62 & 53.11 & 0.68 & 16.43
1 & 256 & tilesync & 63.56 & 0.62 & 55.33 & 0.77 & 12.94
4 & 256 & baseline & 97.00 & 0.84
4 & 256 & rowsync & 97.00 & 0.84 & 77.39 & 1.79 & 20.22
4 & 256 & tilesync & 97.00 & 0.84 & 74.11 & 0.68 & 23.60
8 & 256 & baseline & 132.00 & 0.91
